,values
1403,-9433.59375
1404,-9433.59375
1405,-9433.59375
1406,-9433.59375
1407,-9433.59375
1408,-9433.59375
1409,-9433.59375
1410,-9433.59375
1411,-9433.59375
1412,-9433.59375
1413,-9433.59375
1414,-9433.59375
1415,-9433.59375
1416,-9433.59375
1417,-9433.59375
1418,-9433.59375
1419,-9433.59375
1420,-9433.59375
1421,-9433.59375
1422,-9433.59375
1423,-9433.59375
1424,-9433.59375
1425,-9433.59375
1426,-9433.59375
1427,-9433.59375
1428,-9433.59375
1429,-9433.59375
1430,-9433.59375
1431,-9433.59375
1432,-9433.59375
1433,-9433.59375
1434,-9433.59375
1435,-9433.59375
1436,-9433.59375
1437,-9433.59375
1438,-9433.59375
